,text_length,text_sentiment_polarity,text_sentiment_subjectivity,text_theme_patriotism,text_theme_freedom,text_theme_war,text_theme_peace,text_theme_nature,text_theme_religion,image_color_count,image_red_dominance,image_green_dominance,image_blue_dominance,image_brightness,image_complexity,audio_duration,audio_tempo,audio_energy,audio_pitch_mean,audio_pitch_std,audio_volume
mw,137,0.49212962962962964,0.7400925925925926,0.7299270072992701,2.9197080291970803,1.4598540145985401,2.18978102189781,3.64963503649635,0.7299270072992701,2,0.491395793499044,0.33460803059273425,0.1739961759082218,0.3418300653594771,119.49895397031725,51.95755102040816,126.04801829268293,0.07609398,1270.977,908.5096,0.061123002
gd,47,0.45,0.75,4.25531914893617,0.0,0.0,2.127659574468085,2.127659574468085,6.382978723404255,3,0.5709923664122137,0.300763358778626,0.1282442748091603,0.4281045751633987,75.8946638440411,79.59510204081633,126.04801829268293,0.057225738,1200.6965,859.88513,0.046281293
lr,142,0.25102495543672015,0.528045157456922,0.7042253521126761,4.225352112676056,0.0,0.0,2.112676056338028,3.5211267605633805,3,0.36453458138325534,0.2912116484659386,0.34425377015080605,0.6284313725490196,88.12491134747314,88.21551020408164,101.33272058823529,0.060439385,1340.7069,946.662,0.048361775
gu,71,0.5,0.5,1.4084507042253522,0.0,0.0,1.4084507042253522,2.8169014084507045,5.633802816901409,11,0.40138541466230515,0.3226861650952473,0.27592842024244757,0.48524743230625594,542.5384778981119,47.56897959183674,120.18531976744185,0.080783896,1315.6384,924.7488,0.064991154
om,90,0.09103535353535352,0.48055555555555557,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,2,0.446144535017873,0.2747527093223384,0.27910275565978854,0.6981316432296827,1034.1397391068579,113.86775510204082,132.51201923076923,0.1075887,1027.2448,698.57275,0.08673025
iq,217,-0.02222222222222224,0.4222222222222222,5.529953917050691,0.4608294930875576,0.0,0.0,6.451612903225806,0.4608294930875576,3,0.3813068651778329,0.32588916459884204,0.29280397022332505,0.526797385620915,128.20296408429877,105.32571428571428,109.95678191489361,0.09403009,970.6751,684.8608,0.07605115
sk,80,0.13333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3,0.37114310902145164,0.28709961798413164,0.3417572729944167,0.6354808590102708,108.12030336620407,33.28,161.4990234375,0.14609732,1207.7382,843.0919,0.11755311
pa,123,0.3361305361305362,0.6926573426573428,0.8130081300813009,0.0,2.4390243902439024,0.0,0.8130081300813009,0.0,3,0.39422431161853594,0.2585627938213566,0.34721289456010745,0.389281045751634,51.86520991955976,109.79265306122448,101.33272058823529,0.07896131,1324.5619,933.4378,0.06312259
sv,300,0.23292626728110594,0.6220660522273425,1.3333333333333335,1.3333333333333335,1.0,1.3333333333333335,1.0,0.6666666666666667,164,0.21850022407501343,0.31262650388807084,0.46887327203691576,0.27002440175799025,15428.513862326468,260.8065306122449,123.046875,0.033494987,1448.0256,1015.26117,0.026594551
hr,93,0.21022727272727276,0.565909090909091,2.1505376344086025,0.0,1.0752688172043012,0.0,8.60215053763441,0.0,6,0.38674375387156723,0.314990708238695,0.29826553788973775,0.42204793028322446,3869.0670710133727,59.40244897959184,126.04801829268293,0.095630296,1245.5073,896.80273,0.07680165
ly,203,0.07083333333333335,0.4291666666666667,1.9704433497536946,0.9852216748768473,0.9852216748768473,0.49261083743842365,0.49261083743842365,1.477832512315271,4,0.3798335780714635,0.3269701419481155,0.29319627998042097,0.44509803921568625,51.264022471905186,67.63102040816327,109.95678191489361,0.08182476,1137.6267,809.19684,0.065952376
ug,73,0.3540909090909091,0.605,1.36986301369863,4.10958904109589,0.0,2.73972602739726,5.47945205479452,1.36986301369863,5,0.4498455200823893,0.3110195674562307,0.23913491246138002,0.6044195455960163,270.8135890238893,45.270204081632656,117.45383522727273,0.12480686,973.6015,654.98535,0.10093559
mn,75,0.5909090909090909,0.6659090909090909,5.333333333333334,1.3333333333333335,0.0,0.0,0.0,0.0,4,0.47782925215089345,0.3692918596955658,0.1528788881535407,0.4937908496732026,130.10764773832474,100.25795918367346,83.35433467741936,0.10936844,1132.5773,821.46924,0.088194065
lu,117,0.018827160493827155,0.429320987654321,2.564102564102564,2.564102564102564,0.0,0.0,5.982905982905983,0.0,3,0.3280212483399734,0.3114209827357238,0.3605577689243028,0.6562091503267974,23.173260452512935,83.80081632653061,126.04801829268293,0.08616676,1061.9282,743.0769,0.06963144
