spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_bandwidth_mean,spectral_bandwidth_std,zero_crossing_rate_mean,zero_crossing_rate_std,rms_mean,rms_std,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std,file_id,filename,station_name,genre
2245.734216174348,622.209739782537,4904.978673598345,1477.2414089631336,2408.2346184843827,423.65738692600394,0.0905421584752322,0.03564957525800388,0.19118325,0.039980944,[123.046875],-75.85555,40.77476,94.20273,23.880638,-15.519565,20.270775,21.722427,12.693963,3.5303,7.353079,19.659258,9.301539,1.3363854,9.494157,19.56912,9.586993,0.16941205,8.092773,13.987059,8.207675,0.6145355,6.2200756,4.668887,5.956237,-3.417469,7.5517707,0.35508558,0.28915358,0.16803107,0.13680655,0.20180956,0.1897849,0.33943287,0.2603239,0.4390732,0.3110171,0.5635495,0.37775224,0.40854502,0.22994915,0.49455285,0.29997057,0.46128273,0.34290925,0.33861312,0.23463708,0.33958548,0.33764702,0.20516989,0.16405293,11,011_SomaFM_Indie_20250308_215915.mp3,SomaFM_Indie,Indie
2448.9388583936543,1000.5418155421263,4947.14508529049,1941.8954040161666,2392.1059361586244,454.2676044792725,0.0962851320626935,0.07183346884981509,0.13541017,0.08129639,[80.74951172],-153.1941,53.887627,63.665344,37.586105,-19.821026,37.353123,31.021938,24.936153,13.401055,25.675825,3.5763798,20.732414,-19.744822,21.707054,4.211444,16.763474,-3.7367733,15.247898,6.6099806,13.283688,0.026388258,11.798587,3.2545967,12.377654,-3.9674714,11.594773,0.6837025,0.29289564,0.4988773,0.24998099,0.39604613,0.27182454,0.44982693,0.27582,0.47252274,0.29307777,0.5058793,0.30470186,0.4743334,0.27046233,0.5857507,0.26436156,0.7139227,0.2567745,0.5291921,0.25164023,0.43146348,0.28004253,0.43723905,0.22138822,12,012_SomaFM_Ambient_20250308_220026.mp3,SomaFM_Ambient,Ambient
1580.0465969900595,1211.0001203307272,3327.971542878048,2795.575880355835,2130.7993527157937,800.1772819039098,0.05152576552825077,0.06332253069166253,0.11724192,0.07267783,[92.28515625],-244.87633,96.45435,114.96089,46.976925,30.415907,27.85041,28.053793,16.641636,21.300709,13.329967,16.459251,12.485677,8.0359745,13.270204,8.162761,11.467173,3.1162941,8.821195,4.8060427,8.718521,2.1818643,7.2049994,7.029661,7.6180964,5.024189,8.16198,0.42112797,0.36565748,0.36741427,0.27915886,0.30899885,0.2577621,0.4318205,0.3547216,0.32995713,0.29988885,0.33881897,0.33518422,0.29352248,0.284253,0.30603978,0.28191876,0.28886342,0.27834344,0.29686975,0.21592583,0.50906044,0.398216,0.36295718,0.21048537,13,013_SomaFM_Lounge_20250308_220107.mp3,SomaFM_Lounge,Electronic
630.2625231901847,193.2862517515487,1031.3937633030187,382.7889266648907,967.3122250608568,340.42896722407846,0.032409479005417956,0.009778887713637637,0.1062992,0.038849045,[117.45383523],-269.37906,73.902336,200.7909,22.681997,0.061281376,26.993849,22.691198,6.4110847,11.459311,7.0135283,0.8441188,8.202765,9.079058,5.781362,12.352223,5.08394,6.137594,5.9652624,0.3468503,5.37904,0.70967084,4.7668886,-3.329606,3.901912,-10.278368,4.964947,0.2855825,0.20645748,0.28398877,0.18291566,0.36970076,0.25326374,0.364923,0.14889832,0.77455986,0.2764029,0.4034678,0.20093395,0.1544647,0.11740079,0.11949061,0.11003191,0.39617023,0.1994394,0.680254,0.33647963,0.26683608,0.14198555,0.18969211,0.15051854,14,014_SomaFM_Drone_20250308_220207.mp3,SomaFM_Drone,Ambient
2536.5567146164926,1231.8541691681278,5021.419636162442,2208.822007685967,2442.5775525507656,464.5576695742637,0.10902503990905572,0.09844141303684853,0.13435209,0.091350034,[80.74951172],-180.24648,85.498634,60.306313,42.567024,-0.5741462,45.66773,33.05913,25.18367,6.58362,21.635006,14.02972,19.196321,-6.6619325,20.65002,9.235669,15.1800995,-4.916672,15.736849,3.5714388,13.445768,-3.1806672,12.055456,0.21337786,11.884654,-4.5898767,11.803445,0.6395785,0.3067748,0.4866002,0.25650662,0.39222416,0.26615545,0.48748213,0.29937792,0.5150542,0.289332,0.58085483,0.30873078,0.52546346,0.26997763,0.57877344,0.26439273,0.7080172,0.25620353,0.5433482,0.24700351,0.42191422,0.263315,0.43093935,0.22910161,15,015_SomaFM_Ambient_20250308_220314.mp3,SomaFM_Ambient,Ambient
618.3355320248174,47.389405570786714,915.9527946920956,65.52630051489874,447.98242703286536,50.597244556332804,0.05062327665441176,0.006923657868088993,0.10064043,0.015751446,[172.265625],-286.33475,16.20998,256.61017,9.830366,9.571674,12.119964,-18.343708,8.329842,-8.047868,4.517988,-26.684414,6.6432405,-6.010359,6.92592,1.799372,5.0543756,-9.000056,4.6444545,-4.1985183,6.260849,-5.22684,5.7462296,-9.640925,4.104195,-9.547555,5.071425,0.18747455,0.111138724,0.13734551,0.11603908,0.40894425,0.3204385,0.1966959,0.13109684,0.3652775,0.30213702,0.15858957,0.12053255,0.3279273,0.23733926,0.61554086,0.334731,0.26077238,0.12707606,0.3972742,0.3325353,0.27414083,0.14802179,0.5898354,0.3188124,16,016_SomaFM_Drone_20250308_220348.mp3,SomaFM_Drone,Ambient
607.8308966722726,50.27943349884732,889.8362859483843,74.63094058908504,442.64203305378715,54.12914127207846,0.04962366062790248,0.006822581131271547,0.10385302,0.014939751,[56.17357337],-288.10196,15.5194,259.2398,9.593618,9.512307,10.532614,-17.97981,7.175318,-7.5852513,5.954607,-26.99047,8.868215,-9.23413,6.781446,-0.9387557,5.2419953,-9.446709,4.280528,-4.687315,5.95482,-4.9133472,6.076334,-6.4424834,4.5747733,-4.7303658,5.3247795,0.18914622,0.11586668,0.13515097,0.09776462,0.51893306,0.34881,0.2519158,0.14409778,0.41155183,0.3056087,0.16977704,0.104737855,0.37372485,0.25313887,0.6013805,0.35131255,0.2544251,0.12855925,0.3135407,0.27610612,0.20494479,0.114006504,0.5380977,0.30813444,17,017_SomaFM_Drone_20250308_220410.mp3,SomaFM_Drone,Ambient
1291.3998666080538,1334.3022581200596,2254.953031274187,2654.905979109522,1694.9312580439046,704.9318440151476,0.05847810444078947,0.09081597998183875,0.14260015,0.09896638,[95.703125],-342.8774,65.19458,100.50982,47.938263,28.635002,42.90002,26.157537,14.961913,18.359913,11.927512,0.568771,9.811409,-15.247533,14.5843525,2.5482192,11.244634,16.918114,9.410091,25.115961,11.093228,28.077997,11.352952,23.85932,11.273391,13.269161,9.174608,0.18272154,0.26290148,0.22388725,0.28352675,0.35560313,0.40555114,0.344597,0.36321577,0.38157055,0.1959361,0.7346999,0.3306816,0.41023764,0.25280678,0.28905255,0.2467106,0.23221067,0.25551808,0.22717705,0.3355713,0.20021945,0.3101224,0.17314285,0.25355178,18,018_SomaFM_Ambient_20250308_220436.mp3,SomaFM_Ambient,Ambient
1749.646301180102,1104.2997647991097,3682.8943967081077,2497.642184939358,2235.752847600928,642.9785520488263,0.04729941164376935,0.048509507821776564,0.12629361,0.053718388,[117.45383523],-206.66943,95.32878,101.32227,46.17643,18.606886,19.924545,32.560703,15.384367,15.838695,13.294046,19.483755,12.340077,9.882694,10.2034025,15.098379,8.07996,5.3158383,7.9194565,7.6375685,8.476578,1.7758827,7.963334,5.7367444,7.2453165,0.12857084,8.489143,0.33170006,0.29973337,0.35103223,0.2646073,0.4604015,0.3115177,0.5113105,0.28944227,0.63990825,0.3568827,0.57782006,0.36400983,0.376468,0.26127604,0.31886205,0.2626077,0.33155793,0.27582723,0.3890674,0.35870168,0.35054123,0.2983975,0.3426373,0.28316742,19,019_SomaFM_Jazz_20250308_220518.mp3,SomaFM_Jazz,Jazz
998.0449659478066,306.71430582843794,1394.5915670955883,480.27984181955287,916.3759865290851,414.6914995154944,0.07539750326528638,0.02304060546333559,0.08036245,0.022766434,[161.49902344],-277.03174,40.077606,181.41928,42.100677,-14.242772,30.743807,-10.63139,16.24652,-15.879899,10.173666,-7.669683,16.067446,-11.081043,11.952627,-1.974287,10.7597065,-0.37268963,10.394807,5.7224884,11.256462,-0.55776584,7.4531603,-13.829047,7.0251245,-14.711039,6.9077134,0.11343376,0.17229056,0.056525666,0.05724195,0.26844114,0.25937614,0.09804309,0.1201311,0.112605445,0.20912288,0.054046936,0.08174966,0.16590731,0.056017272,0.9296705,0.1768371,0.26804653,0.14048076,0.15423831,0.19182453,0.13134198,0.13922551,0.23435636,0.34348962,20,020_SomaFM_Drone_20250308_220609.mp3,SomaFM_Drone,Ambient
