,0,1,2,3,4
pe,0.1430490744109945,0.0018308213212326872,0.0,0.09042553010382992,0.011806560167501071
pf,0.0,0.10969223311067212,0.0348107504592712,0.14821178077456051,0.0
pg,0.0182762190744887,0.006526578004313751,0.09609652277242627,0.0,0.043893898924634966
ph,0.22218916344620573,0.021971546822317025,0.0,0.07782543885683403,0.0
pk,0.0504900669346103,0.0,0.0705345217455326,0.14073458741383452,0.0418077165754105
pl,0.0,0.051350545621133004,0.0,0.1646418804327566,0.09598224944021944
pn,0.0,0.30568291196169634,0.0,0.0,0.030383767393585545
pr,0.09244399413444443,0.19223591886073507,0.0,0.0,0.0
ps,0.0,0.08596944918044205,0.016146859968816228,0.14284001969668492,0.0825081447606634
pt,0.26789997318676656,0.015562781827312524,0.0008150218260481655,0.0,0.0
pw,0.023396863076957188,0.10515209567252103,0.16503499928677776,0.09618098601602247,0.08821698293989436
py,0.19646654162426416,0.0,0.0,0.0,0.15452107714123053
qa,0.02017276220852694,0.0,0.10575115275676633,0.12010081861890579,0.0
re,0.03545723927966213,0.15838102946337393,0.0,0.032314559237091624,0.0
ro,0.20401348168326236,0.0,0.0,0.0030450786075978628,0.0
ru,0.003989548084298175,0.010328898181159474,0.04934070447382112,0.21552842068502262,0.14488469578613614
rw,0.0,0.04394421059581084,0.08010815560880497,0.13918251098132237,0.08286559148216292
sa,0.0,0.0,0.0,0.47835313859856293,0.0
sb,0.0,0.18327490494032264,0.07623240590419068,0.0,0.04308034329324972
sc,0.010996213508767014,0.03602958909341707,0.043950162706766716,0.2236082073163698,0.014790855529859278
sd,0.009667470906072492,0.0,0.10080173706171928,0.19390100545738695,0.0
se,0.09674731449527538,0.08755602588015034,0.0,0.0327726645157562,0.0
sg,0.0,0.013920409439909204,0.0,0.0,0.11133519771558234
sh,0.0,0.26214393141097186,0.0,0.0,0.005774500428404613
sk,0.0018547209972103373,0.044565200835530436,0.0,0.0,0.03211120670170824
sl,0.009674103450915138,0.014636381313570921,0.3120402013138304,0.0,0.025785173162073256
sn,0.02365345681575966,0.031238641769830426,0.0,0.0,0.2692701684708207
so,0.14241026153837047,0.03779478685795914,0.03979565402711738,0.006570224407608074,0.00213473039144279
sr,0.015425397469759936,0.0,0.19206508460311572,0.08413714328799855,0.0
ss,0.028859843676946165,0.0,0.255005513833169,0.039157911339145396,0.0356418647086911
st,0.0,0.0,0.0,0.05162421584201253,0.2168141856377662
sv,0.09072012542927166,0.0,0.028219917375074188,0.08965749620593993,0.09681278707404382
sx,0.0,0.41809902473433985,0.0,0.0,0.0037290947373583906
sy,0.11024992802967426,0.0,0.01601207047315434,0.01937092725946115,0.0
sz,0.0,0.0,0.2173581886612145,0.04108184963286793,0.0
tc,0.0,0.09355082846570446,0.11700309089566838,0.05113359424524642,0.016586854713843198
td,0.0,0.006845501308620646,0.12141835725861734,0.057860072378347296,0.08438262965254072
tg,0.055366830215991696,0.0008645792573459081,0.0753967629318051,0.001422382824016196,0.13015005054300194
th,0.013269363970484947,0.0,0.0,0.021782281960821888,0.14391434316074428
tj,0.1375701908844623,0.0023232999745021353,0.0,0.22138173888304985,0.012256599667619337
tk,0.0,0.0,0.19424472026807516,0.0,0.0
tl,0.0,0.0,0.0,0.008709977961425816,0.2951484972093857
tm,0.028250315737073508,0.0,0.049220147103582294,0.2588223401809947,0.04618220733940751
tn,0.17361706740758776,0.0,0.0,0.08890645166179234,0.0005354803132380066
to,0.0,0.0,0.23510565948033274,0.0,0.0
tr,0.23151301973627897,0.02002729557036074,0.059062358674850914,0.0,0.049828653373666904
tt,0.011570141445740248,0.05490624400544643,0.2259021729560885,0.0,0.008467727876667051
tv,0.005168306943875629,0.016698174382589366,0.17505741760995422,0.03729451055330407,0.009897226135984054
tz,0.0,0.0,0.23742987187008077,0.0,0.0553942792368378
ua,0.09945784672000277,0.0,0.009833621732436596,0.0,0.07233265579016088
ug,0.0012036158898582497,0.0037121619804839938,0.23168961809142402,0.10105661308634502,0.011125499297373094
us,0.13965066426556091,0.12687561119391597,0.0520363162285535,0.01334357896025229,0.0
uy,0.10339705833070834,0.0,0.0,0.05017752880399971,0.0
uz,0.008616885428153974,0.013549144240013522,0.06964952687799461,0.09677905371383318,0.11044381306230969
va,0.053060138010668924,0.011470710357872307,0.01895344406748555,0.0,0.010921862740668373
vc,0.0,0.30129024283007494,0.16233287488073164,0.0,0.0
ve,0.0797066837008269,0.0,0.024219592194020884,0.02633785755079306,0.03944198831847721
vg,0.0,0.1630007491849856,0.04649542553444181,0.06894052921067223,0.07201096637523786
vi,0.0,0.2498079409209351,0.1200754070850103,0.0,0.02900531819854452
vn,0.019762245648785634,0.0,0.009676807186327267,0.10575070858625207,0.15604380885828134
vu,0.0,0.049493882956127236,0.08789857541409467,0.021497194135413497,0.11213439804778808
ws,0.05818757073020884,0.0,0.05581433126909586,0.0,0.0037719713671447584
ye,0.12610398833846131,0.013524744144412815,0.06565375327887804,0.06468213637176323,0.028215449878445584
za,0.00794165745730078,0.0,0.3236058287546195,0.013583290933910464,0.04422819252782013
zm,0.003716362378494104,0.0,0.17503656448582353,0.0,0.15884696086894587
zw,0.0,0.0,0.39181535155517083,0.0023874079606858575,0.0
